Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,transistor_density,gflops_per_watt,process_generation
919,Intel Core i3-370M,CPU,2010-06-20,32.0,35.0,81.0,382.0,2400.0,Intel,Intel,17656.81496879245,9377.769848361317,534.5861439581533,4.716049382716049,267.9362813817519,1
920,Intel Celeron D 335,CPU,2004-06-24,90.0,84.0,109.0,125.0,2800.0,Intel,Intel,17332.511787419877,9268.027097960266,522.8141123598288,1.146788990825688,110.33365592809841,0
921,AMD Ryzen 9 5900X,CPU,2020-11-05,7.0,105.0,191.77147884848821,3976.2666408709943,3700.0,TSMC,AMD,28092.760180225334,13662.274264410498,853.9405560380019,20.734400468447657,130.11689775629046,5
922,Intel Core i3-3220T,CPU,2012-09-03,22.0,35.0,94.0,703.5995360042806,2800.0,Intel,Intel,22655.21537218723,11325.675033854777,707.9618025710955,7.485101446854049,323.5907152529936,2
923,AMD Phenom II X2 555 BE,CPU,2010-01-25,45.0,80.0,258.0,758.0,3200.0,Unknown,AMD,15661.769717067775,8036.106135055373,495.7814712773163,2.937984496124031,100.45132668819215,1
924,AMD Opteron 242,CPU,2004-12-01,90.0,85.0,107.28247867198152,106.0,1600.0,Unknown,AMD,13733.497187878977,8119.779299917176,390.0036947559811,0.9880457770191652,95.52681529314324,0
925,Intel Pentium M 740,CPU,2005-01-19,90.0,27.0,84.0,140.0,1730.0,Intel,Intel,13964.949580740416,8063.538950236893,402.6098780690754,1.6666666666666667,298.6495907495145,0
926,Intel Core i7-6700K,CPU,2015-08-01,14.0,95.0,230.5663810040146,1252.991580044099,4000.0,Intel,Intel,28192.432236530196,14094.852405650276,856.3243269676227,5.434407109084486,148.36686742789763,3
927,AMD Athlon X2 7550,CPU,2008-12-15,65.0,95.0,285.0,450.0,2500.0,Unknown,AMD,17924.321869510666,9456.344105497756,544.6697065588162,1.5789473684210527,99.54046426839743,0
928,Intel Core i5-8300H,CPU,2018-04-02,14.0,45.0,126.0,2044.091753035731,2300.0,Intel,Intel,22618.90848799766,11307.554127340258,706.8251514000061,16.2229504209185,251.2789806075613,3
929,Intel Core i9-8950HK,CPU,2018-04-02,14.0,95.0,149.0,623.2142362379946,2900.0,Intel,Intel,26834.944719398358,13725.822225779411,857.9708073105053,4.18264588079191,144.48233921873066,3
930,Intel Xeon E7-8880L v3,CPU,2015-06-01,22.0,115.0,160.0,1400.0,2000.0,Intel,Intel,17028.035381588892,9193.702187115225,510.86512924323966,8.75,79.9452364096976,2
931,Intel Xeon E3-1285 v4,CPU,2015-06-02,14.0,95.0,160.0,1400.0,3500.0,Intel,Intel,5411.639969814463,3510.6972266310013,194.06221594682725,8.75,36.95470764874738,3
932,AMD A4-3400,CPU,2011-09-07,32.0,65.0,228.0,1178.0,2700.0,Unknown,AMD,10166.900330362329,5579.635598919054,346.65266012904044,5.166666666666667,85.84054767567775,1
933,Intel Atom E3826,CPU,2013-10-08,22.0,7.0,130.06149254477108,3111.38537483623,1467.0,Intel,Intel,2211.1974959730655,1918.2754236944588,59.93566828682142,23.92241788064363,274.03934624206556,2
934,AMD Ryzen 9 3950X,CPU,2019-11-14,7.0,105.0,74.0,3800.0,3500.0,TSMC,AMD,5456.19872959483,5224.855146826756,247.90669424917886,51.351351351351354,49.76052520787387,5
935,Intel Xeon MP 3.16,CPU,2005-03-29,90.0,135.0,235.56758307247438,286.0,3167.0,Intel,Intel,27798.451872126458,13549.993367843006,846.9363780426181,1.2140889517553426,100.37032124328152,0
936,AMD FX-4170,CPU,2012-02-27,32.0,125.0,315.0,1200.0,4200.0,Unknown,AMD,4938.546501997386,3299.3065749845305,180.05856147832247,3.8095238095238093,26.394452599876242,1
937,AMD Mobile Athlon 64 2800+,CPU,2004-08-01,130.0,62.0,193.0,106.0,1800.0,Unknown,AMD,16048.188915293458,8917.763497304264,473.55943735544275,0.5492227979274611,143.8348951178107,0
938,AMD Ryzen 5 2600,CPU,2018-04-19,12.0,65.0,192.0,4800.0,3400.0,GF,AMD,7972.050567455115,5553.486772662821,258.8515872141026,25.0,85.43825804096647,0
939,Intel Xeon E5-2692 v2,CPU,2013-09-01,22.0,100.0,160.0,1400.0,2200.0,Intel,Intel,12319.43421928544,6553.300740767605,407.97820881908495,8.75,65.53300740767605,2
940,Intel Core i7-3930K,CPU,2011-11-14,32.0,130.0,435.0,2270.0,3200.0,Intel,Intel,6004.7860199967,3775.787215682135,211.62118976463339,5.218390804597701,29.04451704370873,1
941,Intel Celeron 2.0,CPU,2002-09-18,130.0,73.0,146.0,55.0,2000.0,Intel,Intel,16904.041778799263,9157.104947887648,506.1967512672797,0.3767123287671233,125.43979380668011,0
942,Intel Core 2 Quad Q9300,CPU,2008-03-10,45.0,95.0,82.0,456.0,2500.0,Intel,Intel,17632.967771707063,9367.24806762525,533.7970923260091,5.560975609756097,98.60261123816053,1
943,Intel Pentium G6950,CPU,2010-01-07,32.0,73.0,81.0,382.0,2800.0,Intel,Intel,17317.636586044082,9264.052264485555,522.2410787013139,4.716049382716049,126.90482554089802,1
944,Intel Mobile Pentium 4 HT 2.66,CPU,2003-09-23,130.0,66.0,131.0,55.0,2667.0,Intel,Intel,17450.528054257127,9306.387478328079,527.1472561599727,0.4198473282442748,141.00587088375877,0
945,Intel Core i7-3630QM,CPU,2012-09-01,22.0,45.0,160.0,1480.0,2400.0,Intel,Intel,9239.919738266164,5221.553994987383,307.3886076243703,9.25,116.03453322194184,2
946,Intel Core i7-2700K,CPU,2011-10-24,32.0,95.0,216.0,1160.0,3500.0,Intel,Intel,5551.102799291202,3573.0391081881103,198.19114552579515,5.37037037037037,37.610937980927474,1
947,AMD Opteron 850,CPU,2004-05-18,130.0,89.0,193.0,106.0,2400.0,Unknown,AMD,17949.614186545983,9465.551560002496,545.5675443586867,0.5492227979274611,106.3545119101404,0
948,AMD Ryzen 5 4600HS,CPU,2020-01-06,7.0,35.0,156.0,9800.0,3000.0,TSMC,AMD,18775.87387234552,9387.757614503054,586.696675935687,62.82051282051282,268.2216461286587,5
949,AMD Sempron 3100+,CPU,2005-07-15,90.0,62.0,83.77777777777777,69.0,1800.0,Unknown,AMD,15763.182449570253,8886.196236519754,461.18758276639943,0.823607427055703,143.32574575031862,0
950,Intel Core i7-9700F,CPU,2019-04-23,14.0,65.0,192.0,4800.0,3000.0,Intel,Intel,27638.377657771165,13817.45975564508,863.6953051574413,25.0,212.57630393300124,3
951,Intel Pentium D 965 EE,CPU,2006-03-26,65.0,130.0,140.0,376.0,3730.0,Intel,Intel,15453.088806026462,7939.667272933808,489.50579772953546,2.6857142857142855,61.074363637952366,0
952,AMD Athlon 64 3000+,CPU,2001-01-01,90.0,51.0,84.0,69.0,2000.0,Unknown,AMD,16773.4529338345,9126.687932289715,501.0262543429586,0.8214285714285714,178.954665339014,0
953,Intel Core 2 Duo T7600,CPU,2006-07-27,65.0,35.0,143.0,293.0,2333.0,Intel,Intel,17868.695009379917,9443.418686359766,542.4662479038213,2.0489510489510487,269.8119624674219,0
954,Intel Core i3-4102E,CPU,2013-09-04,22.0,25.0,118.0,1400.0,1600.0,Intel,Intel,12330.300971288429,7779.995947472568,342.51857410567914,11.864406779661017,311.19983789890273,2
955,AMD Opteron 246 HE,CPU,2005-03-01,90.0,55.0,98.40398493456833,106.0,2000.0,Unknown,AMD,16842.615392286138,9176.784651981163,502.7031606474207,1.0771921489813903,166.85063003602113,0
956,AMD Phenom X3 8450e,CPU,2008-09-08,65.0,65.0,285.0,450.0,2100.0,Unknown,AMD,17786.675145481695,9423.405209592656,539.2471715441484,1.5789473684210527,144.97546476296395,0
957,Intel Pentium G860T,CPU,2012-06-03,32.0,35.0,131.0,504.0,2600.0,Intel,Intel,17536.703598015818,9334.81151043118,530.2984114662206,3.8473282442748094,266.7089002980337,1
958,AMD Ryzen 7 2700U,CPU,2017-10-26,14.0,15.0,246.0,1212.0332770253694,2200.0,GF,AMD,22394.50654597258,11195.623754327784,699.81475367756,4.926964540753534,746.3749169551855,3
959,Intel Pentium 4 HT 3.4E,CPU,2004-04-01,90.0,115.0,109.0,125.0,3400.0,Intel,Intel,17021.129489440395,8510.465405612373,531.8926810037391,1.146788990825688,74.00404700532498,0
960,Intel Core i3-9100F,CPU,2019-04-23,14.0,65.0,210.0,4950.0,3600.0,Intel,Intel,28050.005586904423,13645.743019140447,876.5629277481969,23.571428571428573,209.9345079867761,3
961,AMD Phenom II X4 810,CPU,2009-02-09,45.0,95.0,258.0,758.0,2600.0,Unknown,AMD,17690.920612469497,9381.64457650845,536.063610773295,2.937984496124031,98.75415343693105,1
962,Intel Core i3-6300,CPU,2015-09-01,14.0,51.0,150.0,1400.0,3800.0,Intel,Intel,5109.871011617644,3375.8429175420924,185.12930727321773,9.333333333333334,66.19299838317828,3
963,Intel Xeon E7-8867 v3,CPU,2015-06-01,22.0,165.0,160.0,1400.0,2500.0,Intel,Intel,9093.998234034978,5156.412043341461,303.07114322043014,8.75,31.25098208085734,2
964,Intel Pentium E5800,CPU,2010-11-28,45.0,65.0,82.0,228.0,3200.0,Intel,Intel,17099.63556065199,9191.762081719724,514.2815176933383,2.7804878048780486,141.4117243341496,1
965,Intel Xeon W3530,CPU,2010-03-16,45.0,130.0,263.0,731.0,2800.0,Intel,Intel,17415.00695599094,9292.520474405499,525.915543943825,2.779467680608365,71.48092672619615,1
966,Intel Pentium Gold G5620,CPU,2019-02-20,14.0,51.0,233.7766052146859,1243.2502177067852,4000.0,Intel,Intel,28191.141899943323,13699.892144801555,880.9748891999086,5.318112206159643,268.6253361725795,3
967,AMD Opteron 846 HE,CPU,2004-05-18,130.0,55.0,193.0,106.0,2000.0,Unknown,AMD,16955.34183628322,9170.820797802986,508.1727143383747,0.5492227979274611,166.74219632369065,0
968,AMD Phenom X3 8750 BE,CPU,2008-09-08,65.0,95.0,285.0,450.0,2400.0,Unknown,AMD,18257.98538795825,9562.347774214328,556.9972298743821,1.5789473684210527,100.65629236015081,0
969,AMD A6-3620,CPU,2011-12-20,32.0,65.0,228.0,1178.0,2200.0,Unknown,AMD,18303.806613893958,9580.575841140542,558.5754832047179,5.166666666666667,147.39347447908526,1
970,AMD A6-5345M,CPU,2013-06-01,32.0,17.0,246.0,1178.0,2200.0,Unknown,AMD,18050.138042281462,9502.43546101128,549.1269477244009,4.788617886178862,558.966791824193,1
971,AMD A10-7700K,CPU,2014-01-14,28.0,95.0,246.0,1178.0,3500.0,Unknown,AMD,5550.917574240002,3572.9558036646595,198.18564623340487,4.788617886178862,37.610061091206944,2
972,AMD EPYC 7313P,CPU,2021-03-15,7.0,155.0,74.0,3800.0,3000.0,TSMC,AMD,27637.327952622734,13816.911275423117,843.1369199644532,51.351351351351354,89.14136306724592,5
973,Intel Core i7-1165G7,CPU,2020-09-02,10.0,28.0,146.472422429491,4127.431171241249,2800.0,Intel,Intel,26791.824632820517,13695.695400988692,856.0920598269365,28.178896086928003,489.131978606739,4
974,AMD E-450,CPU,2011-08-22,40.0,18.0,75.0,144.57868440945913,1650.0,Unknown,AMD,2139.4182969795565,2218.412011802963,102.47342511324784,1.9277157921261217,123.24511176683129,0
975,AMD Athlon 64 X2 3600+ EE,CPU,2006-08-01,90.0,65.0,220.0,154.0,2000.0,Unknown,AMD,17032.868918556633,9194.578797390917,511.0642679407135,0.7,141.45505842139872,0
976,AMD Ryzen 5 3500U,CPU,2019-01-06,12.0,15.0,210.0,4940.0,2100.0,GF,AMD,14875.635462010507,7437.836829567767,430.7820112684728,23.523809523809526,495.85578863785116,0
977,Intel Pentium 4 1.6,CPU,2001-08-27,180.0,61.0,217.0,42.0,1600.0,Intel,Intel,14279.82992458771,8070.374989915367,417.15447197893496,0.1935483870967742,132.30122934287488,0
978,Intel Pentium G3250T,CPU,2014-07-21,22.0,35.0,177.0,1400.0,2800.0,Intel,Intel,6916.742268247107,4183.299131806245,238.61605142933118,7.909604519774011,119.52283233732129,2
979,Intel Core i3-4340,CPU,2013-09-01,22.0,54.0,177.0,1400.0,3600.0,Intel,Intel,5297.5433934233015,3459.7061994221995,190.6846381984025,7.909604519774011,64.06863332263332,2
980,Intel Pentium 4 HT 3.0E,CPU,2004-02-01,90.0,115.0,109.0,125.0,3000.0,Intel,Intel,17204.032604390162,9225.465951902559,518.1217885195192,1.146788990825688,80.22144306002225,0
981,Intel Core i3-2125,CPU,2011-09-04,32.0,65.0,131.0,504.0,3300.0,Intel,Intel,15703.966364800448,8052.697298619511,496.96042656314853,3.8473282442748094,123.88765074799247,1
982,Intel Pentium M 1.60,CPU,2003-03-12,130.0,24.0,100.0,77.0,1600.0,Intel,Intel,13815.869774491232,8078.778519227277,395.1460455385244,0.77,336.61577163446987,0
983,Intel Pentium 4 HT 541,CPU,2005-06-12,90.0,84.0,109.0,125.0,3200.0,Intel,Intel,17106.713016571604,9193.530654999024,514.5579905425315,1.146788990825688,109.44679351189313,0
984,AMD Mobile Athlon 64 3200+,CPU,2004-08-01,130.0,62.0,193.0,106.0,2000.0,Unknown,AMD,16964.767181219144,9173.383295274261,508.5344349974724,0.5492227979274611,147.95779508506874,0
985,Intel Pentium D 925,CPU,2006-10-01,65.0,95.0,140.0,376.0,3000.0,Intel,Intel,17213.52167565803,9228.21910202786,518.480537305515,2.6857142857142855,97.13914844239854,0
986,AMD Athlon II X4 600e,CPU,2009-10-20,45.0,45.0,169.0,300.0,2200.0,Unknown,AMD,17905.505663442673,9457.716670261274,543.7449399797856,1.7751479289940828,210.17148156136165,1
987,Intel Core i7-4650U,CPU,2013-06-04,22.0,15.0,118.0,1300.0,1700.0,Intel,Intel,12911.487706817623,7732.297712531873,372.5702093768117,11.016949152542374,515.4865141687916,2
988,Intel Core i5-3360M,CPU,2012-06-01,22.0,35.0,118.0,1231.882113161198,2800.0,Intel,Intel,22680.972007305107,11338.5384576863,708.7665763440463,10.4396789250949,323.95824164818,2
989,AMD Opteron 844,CPU,2004-12-01,90.0,85.0,129.32726659369945,106.0,1800.0,Unknown,AMD,15785.996437189066,8889.076497130236,462.16690417898616,0.8196260757061736,104.57737055447336,0
990,AMD Opteron X2 870 HE,CPU,2005-12-01,90.0,55.0,123.80116988753136,233.0,2000.0,Unknown,AMD,16842.61539228614,9176.784651981163,502.70316064742065,1.8820500663416315,166.85063003602113,0
991,AMD Athlon 64 LE-1640,CPU,2008-04-01,65.0,45.0,77.0,122.0,2700.0,Unknown,AMD,17379.900845788263,9285.256028049975,524.4970575097415,1.5844155844155845,206.339022845555,0
992,AMD Sempron 2400+,CPU,2004-07-28,130.0,62.0,80.0,37.0,1667.0,Unknown,AMD,13908.065981838536,8088.705438622931,399.15728543418294,0.4625,130.46299094553115,0
993,AMD Turion 64 ML-37,CPU,2005-03-10,90.0,35.0,125.0,114.0,2000.0,Unknown,AMD,16838.090242251572,9141.92952295464,503.57965939184163,0.912,261.1979863701326,0
994,Intel Pentium III 1133S,CPU,2001-06-01,130.0,29.0,80.0,44.0,1133.0,Intel,Intel,7036.2367843371185,779.8176773340596,24.36792994185049,0.55,26.890264735657226,0
995,AMD Opteron X2 285,CPU,2006-03-06,90.0,95.0,202.35876046082282,233.0,2600.0,Unknown,AMD,17485.04980323838,9350.94693777486,527.373552764692,1.1514203757198316,98.43102039763009,0
996,Intel Core 2 Duo T7250,CPU,2007-09-27,65.0,35.0,111.0,293.0,2000.0,Intel,Intel,16817.18414422732,9137.724099277915,502.7311706017776,2.6396396396396398,261.07783140794044,0
997,Intel Core i3-4005U,CPU,2013-09-04,22.0,15.0,118.0,1400.0,1700.0,Intel,Intel,12592.46409479213,7571.248764650822,364.29764566443583,11.864406779661017,504.74991764338813,2
998,Intel Pentium 4 1.4,CPU,2000-11-20,180.0,55.0,217.0,42.0,1400.0,Intel,Intel,14276.232231295746,7862.667358858263,423.47679627724233,0.1935483870967742,142.9575883428775,0
999,Intel Atom N270,CPU,2008-06-03,45.0,3.0,26.0,47.0,1600.0,Intel,Intel,13009.27314458375,8059.740756519233,357.93595741829296,1.8076923076923077,2686.580252173078,1
1000,Intel Core i9-10900X,CPU,2019-10-19,14.0,165.0,152.04777607035325,2286.299976537991,3700.0,Intel,Intel,27328.750325205492,14046.653429491163,854.0344632395593,15.036720928296305,85.13123290600706,3
1001,AMD A8-5550M,CPU,2013-06-01,32.0,35.0,246.0,1178.0,2100.0,Unknown,AMD,17648.17523672499,9380.822117597183,534.0858667785463,4.788617886178862,268.0234890742052,1
1002,Intel Core i5-8265U,CPU,2018-10-01,14.0,28.0,123.0,1133.1188026617656,1600.0,Intel,Intel,2621.07168547866,3149.601453764257,78.14365484270397,9.212347989120046,112.48576620586631,3
1003,Intel Core i7-10875H,CPU,2020-04-02,14.0,45.0,210.94390029960215,2262.371403760962,2100.0,Intel,Intel,21936.430619980347,10967.023578285522,685.5064047749893,10.724990865096036,243.7116350730116,3
1004,AMD Athlon 64 X2 4000+ EE,CPU,2006-05-23,90.0,65.0,220.0,154.0,2000.0,Unknown,AMD,17032.868918556633,9194.578797390917,511.0642679407135,0.7,141.45505842139872,0
1005,Intel Xeon Platinum 8360HL,CPU,2021-04-06,14.0,225.0,194.00917430327982,13221.817291556135,3000.0,Intel,Intel,26991.505324077672,13494.705824669403,864.0546639726533,68.15047452801109,59.976470331864014,3
1006,AMD A6-9220C SoC,CPU,2019-01-07,28.0,6.0,124.0,1200.0,1800.0,Unknown,AMD,15867.116516266691,8894.38054172497,465.80313476498947,9.67741935483871,1482.3967569541617,2
1007,Intel Pentium M 1.50,CPU,2003-03-12,130.0,24.0,100.0,77.0,1500.0,Intel,Intel,13916.60733464645,8056.810647950646,400.553982761718,0.77,335.70044366461025,0
1008,Intel Xeon Phi 7120P,CPU,2013-06-17,22.0,300.0,350.0,5000.0,1238.0,Intel,Intel,6443.259481655414,650.5,111.8076874354157,14.285714285714286,2.1683333333333334,2
1009,AMD Sempron 2800+,CPU,2001-01-01,130.0,25.0,144.0,69.0,1600.0,Unknown,AMD,13965.05099152707,8087.3803610200985,401.86923288659415,0.4791666666666667,323.4952144408039,0
1010,Intel Pentium Dual-Core T4200,CPU,2009-01-01,45.0,35.0,107.0,410.0,2000.0,Intel,Intel,16812.383715589207,9137.081024105166,502.5262672355244,3.8317757009345796,261.05945783157614,1
1011,Intel Core 2 Duo E6300,CPU,2006-07-27,65.0,65.0,143.0,291.0,1866.0,Intel,Intel,16254.407397180634,8980.64638681735,481.26061989305697,2.034965034965035,138.16379056642077,0
1012,AMD Athlon 64 X2 4000+,CPU,2006-12-05,65.0,65.0,126.0,154.0,2100.0,Unknown,AMD,17371.79016301935,9297.748751428751,523.7267317105549,1.2222222222222223,143.04228848351926,0
1013,Intel Core i7-8559U,CPU,2018-04-05,14.0,28.0,123.0,2322.476296686291,2700.0,Intel,Intel,22763.203252388084,11379.590730061765,711.3354518225265,18.881921111270657,406.41395464506303,3
1014,AMD Athlon XP-M 2600+,CPU,2001-01-01,130.0,45.0,101.0,63.0,2000.0,Unknown,AMD,16790.574815285054,9128.412783467717,501.7748545821121,0.6237623762376238,202.8536174103937,0
1015,Intel Core i3-7300T,CPU,2017-01-03,14.0,35.0,170.0,4800.0,3500.0,Intel,Intel,28003.0972039423,14000.066460525632,875.0966037752341,28.235294117647058,400.0018988721609,3
1016,Intel Pentium D 935,CPU,2007-01-01,65.0,95.0,140.0,376.0,3200.0,Intel,Intel,17115.799822028097,9196.031830607337,514.9057571190083,2.6857142857142855,96.8003350590246,0
1017,AMD Athlon XP 2100+,CPU,2002-03-13,180.0,72.0,150.0,37.0,1733.0,Unknown,AMD,14245.623285275307,8056.16178950281,415.99568861126033,0.24666666666666667,111.8911359653168,0
1018,Intel Pentium G645T,CPU,2012-09-02,32.0,35.0,131.0,504.0,2500.0,Intel,Intel,17666.75224367349,9377.20244511382,535.0696105388172,3.8473282442748094,267.92006986039485,1
1019,Intel Core Duo T2050,CPU,2005-05-01,65.0,31.0,90.0,151.0,1600.0,Intel,Intel,13274.849371679511,8101.669186751841,369.0730666152859,1.6777777777777778,261.34416731457554,0
1020,AMD Athlon 64 3200+,CPU,2003-09-23,130.0,89.0,193.0,105.0,2000.0,Unknown,AMD,16999.813792231053,9182.736221711744,509.8849101748194,0.5440414507772021,103.17681147990724,0
1021,Intel Pentium G3220,CPU,2013-09-01,22.0,54.0,177.0,1400.0,3000.0,Intel,Intel,6287.558501590523,3902.1224515941144,219.99084545396207,7.909604519774011,72.26152688137249,2
1022,Intel Pentium 4 HT 516,CPU,2001-01-01,90.0,84.0,109.0,125.0,2933.0,Intel,Intel,17238.190381665725,9237.020811397639,519.3618208320718,1.146788990825688,109.96453346901951,0
1023,Intel Core i5-9400T,CPU,2018-09-01,14.0,35.0,159.20965925879636,5108.31408444188,1800.0,Intel,Intel,14463.495159509352,7232.769038872871,451.97503174935997,32.08545328357422,206.6505439677963,3
1024,Intel Core i5-6350HQ,CPU,2016-01-24,14.0,45.0,137.5,2114.9254402185347,2300.0,Intel,Intel,26118.409760114406,13057.146968968224,803.599209879931,15.38127592886207,290.1588215326272,3
1025,Intel Xeon Platinum 8358P,CPU,2021-04-06,10.0,240.0,142.7027936848721,5469.552178326459,2600.0,Intel,Intel,26499.210505729334,13247.759194182247,843.0005293040447,38.328276812889655,55.198996642426025,4
1026,Intel Xeon W3540,CPU,2009-03-30,45.0,130.0,263.0,731.0,2933.0,Intel,Intel,16060.477735554932,8215.258855095908,507.6138995777265,2.779467680608365,63.19429888535314,1
1027,Intel Core 2 Duo E6400,CPU,2006-07-27,65.0,65.0,143.0,291.0,2133.0,Intel,Intel,17583.452598463846,9360.606897595797,531.6838013629134,2.034965034965035,144.0093368860892,0
1028,Intel Core i9-11900F,CPU,2021-03-16,14.0,65.0,187.3172585755064,2083.9172437165576,2500.0,Intel,Intel,26724.12388897559,13137.851668693413,835.1154819541061,11.125068023972515,202.12079490297558,3
1029,Intel Pentium Dual-Core T4400,CPU,2009-12-01,45.0,35.0,107.0,410.0,2200.0,Intel,Intel,17609.83933337481,9368.544433795307,532.6725956567055,3.8317757009345796,267.6726981084373,1
1030,Intel Xeon MP 2.83,CPU,2005-03-29,90.0,135.0,211.68287447223784,286.0,2833.0,Intel,Intel,17169.231237623113,9252.333806777293,515.6515738490064,1.3510776472260577,68.5358059761281,0
1031,AMD A6-3430MX,CPU,2011-12-20,32.0,45.0,228.0,1178.0,1700.0,Unknown,AMD,14069.04884478696,8098.5300092050475,406.3953038157943,5.166666666666667,179.96733353788994,1
1032,AMD Athlon XP 2000+,CPU,2002-01-07,180.0,70.0,150.0,37.0,1667.0,Unknown,AMD,14225.925899089034,8077.25177979645,414.4132996979167,0.24666666666666667,115.38931113994929,0
1033,Intel Core i7-965,CPU,2008-11-17,45.0,130.0,263.0,731.0,3200.0,Intel,Intel,15692.22272158939,8049.497835741296,496.67619423121033,2.779467680608365,61.91921412108689,1
1034,Intel Core i5-6500,CPU,2015-07-02,14.0,65.0,177.0,2680.972743714433,3200.0,Intel,Intel,27765.9449857426,13535.815345944518,846.0490045062683,15.146738665053293,208.24331301453105,3
1035,Intel Core M-5Y31,CPU,2014-10-27,14.0,5.0,50.0,532.1379319962034,900.0,Intel,Intel,1460.444722291644,823.8039289028287,103.66399590064664,10.642758639924068,164.76078578056575,3
1036,Intel Xeon X5647,CPU,2011-02-14,32.0,130.0,239.0,1170.0,2933.0,Intel,Intel,6846.837259173325,4152.117024373172,236.54848994312624,4.895397489539749,31.939361725947478,1
1037,Intel Xeon Platinum 8280M,CPU,2018-12-11,14.0,205.0,140.46846068504823,8000.0,2700.0,Intel,Intel,10363.817886271485,8309.283196218987,383.2180323387687,56.9522863779167,40.53308876204384,3
1038,Intel Core i3-9350KF,CPU,2019-01-08,14.0,91.0,226.57123387596477,1265.9111415944135,4000.0,Intel,Intel,28192.29140441208,14094.782130430069,856.3203911250317,5.587254480361041,154.88771571901174,3
1039,Intel Core i7-2960XM,CPU,2011-09-04,32.0,55.0,216.0,1160.0,2700.0,Intel,Intel,10153.414663179212,5791.551286022603,346.3173276186663,5.37037037037037,105.30093247313823,1
1040,Intel Core 2 Duo E8500,CPU,2008-01-01,45.0,65.0,107.0,410.0,3166.0,Intel,Intel,17119.361577234853,9197.89244255127,515.0145782732765,3.8317757009345796,141.50603757771185,1
1041,AMD Sempron X2 2100,CPU,2008-03-01,65.0,65.0,118.0,221.0,1800.0,Unknown,AMD,15889.872666855319,8897.177736615124,466.7823699625507,1.8728813559322033,136.87965748638652,0
1042,AMD FX-4350,CPU,2013-04-29,32.0,125.0,315.0,1200.0,4200.0,Unknown,AMD,4938.546501997386,3299.3065749845305,180.05856147832247,3.8095238095238093,26.394452599876242,1
1043,Intel Core i7-11700KF,CPU,2021-03-16,14.0,125.0,206.0,1819.6405393707587,3600.0,Intel,Intel,28052.204220215455,14024.643559437398,852.9759354551128,8.833206501799799,112.19714847549918,3
1044,Intel Core i5-3210M,CPU,2012-06-01,22.0,35.0,118.0,569.8678360385582,2500.0,Intel,Intel,22873.421933616508,11434.61237419837,714.778168852155,4.82938844100473,326.703210691382,2
1045,AMD Ryzen 5 3600XT,CPU,2019-07-07,7.0,95.0,74.0,3800.0,3800.0,TSMC,AMD,5163.570912898896,5128.362736076198,240.30702497680466,51.351351351351354,53.98276564290735,5
1046,Intel Pentium Dual-Core E2140,CPU,2007-06-03,65.0,65.0,77.0,105.0,1600.0,Intel,Intel,13030.788505512912,8117.382895756703,357.1430129907175,1.3636363636363635,124.88281378087235,0
1047,AMD EPYC 7261,CPU,2018-06-14,14.0,170.0,213.0,4800.0,2500.0,GF,AMD,11138.1882900402,6715.410893659388,353.42777793212133,22.535211267605632,39.502417021525815,3
1048,AMD Athlon XP-M 2500+,CPU,2001-01-01,130.0,45.0,101.0,63.0,1862.0,Unknown,AMD,16201.367905826837,8970.362995203146,479.095916971084,0.6237623762376238,199.34139989340323,0
1049,AMD A6-5200,CPU,2013-05-23,32.0,25.0,246.0,1178.0,2000.0,Unknown,AMD,17015.49665309293,9191.837445263098,510.33566026296137,4.788617886178862,367.67349781052394,1
1050,Intel Core i5-8305G,CPU,2018-02-01,14.0,65.0,178.19839214575916,3415.4800824563927,2800.0,Intel,Intel,27380.40906963325,13688.298213957638,855.6310794728656,19.16672783255343,210.58920329165596,3
1051,AMD A6-3670K,CPU,2011-12-20,32.0,100.0,228.0,1178.0,2700.0,Unknown,AMD,10664.291792307982,5608.99988150708,348.54044075607595,5.166666666666667,56.0899988150708,1
1052,AMD A9-9425 SoC,CPU,2016-05-31,28.0,15.0,124.0,1200.0,3100.0,Unknown,AMD,6115.90067204222,3825.420918877102,214.90973115120056,9.67741935483871,255.02806125847346,2
1053,Intel Xeon 5130,CPU,2006-06-26,65.0,65.0,133.6,209.6,2000.0,Intel,Intel,27802.780456047298,13903.272811522289,868.8630437984498,1.5688622754491017,213.8965047926506,0
1054,Intel Core i7-4770HQ,CPU,2014-07-01,22.0,47.0,264.0,1400.0,2200.0,Intel,Intel,17363.613856596563,8817.315540229682,546.7979676037475,5.303030303030303,187.60245830275917,2
1055,Intel Atom CE4130,CPU,2009-09-24,45.0,7.0,26.0,47.0,1200.0,Intel,Intel,6840.446452092497,5088.305942558997,82.77351998855464,1.8076923076923077,726.9008489369996,1
1056,AMD Athlon 850,CPU,2000-06-05,180.0,47.0,120.0,37.0,850.0,Unknown,AMD,3371.488388444063,894.7864703259783,236.18821925150073,0.30833333333333335,19.038010006935707,0
1057,AMD A12-9800,CPU,2017-07-27,28.0,65.0,246.0,1178.0,3800.0,Unknown,AMD,5216.4350238804755,3423.4790424530643,188.28425145747826,4.788617886178862,52.66890834543176,2
