cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category,performance_per_core,performance_per_watt,thread_efficiency,brand,cpu_name_clean
Intel Xeon E5-2448L v2 @ 1.80GHz,1424.0,6774,4.76,1235,0.87,70.0,96.77,10,2018,LGA 1356,Server,677.4,96.77142857142857,1.823147328018896,Intel,Intel Xeon E5-2448L v2
Intel Pentium Gold 8505,37.49,6771,,3112,,15.0,451.41,1,2022,BGA1700,"Laptop, Mobile/Embedded",6771.0,451.4,0.4596071481317383,Intel,Intel Pentium Gold 8505
AMD FX-9590 Eight-Core,344.04,6768,19.67,1829,5.32,220.0,30.76,4,2013,AM3+,Desktop,1692.0,30.763636363636362,1.08096926713948,AMD,AMD FX-9590 Eight-Core
Intel Core i3-9100F @ 3.60GHz,124.0,6768,54.58,2519,20.32,65.0,104.12,4,2019,FCLGA1151-2,Desktop,1692.0,104.12307692307692,1.4887706855791962,Intel,Intel Core i3-9100F
Intel Core i7-4980HQ @ 2.80GHz,169.99,6767,,2250,,47.0,143.99,4,2014,FCBGA1364,Laptop,1691.75,143.9787234042553,1.329983744643121,Intel,Intel Core i7-4980HQ
Intel Xeon E3-1230 v3 @ 3.30GHz,299.99,6760,22.53,2081,6.94,80.0,84.5,4,2013,LGA1150,Server,1690.0,84.5,1.2313609467455622,Intel,Intel Xeon E3-1230 v3
Intel Core i7-4930MX @ 3.00GHz,1096.0,6753,6.16,2180,1.99,57.0,118.48,4,2013,FCPGA946,Laptop,1688.25,118.47368421052632,1.2912779505405005,Intel,Intel Core i7-4930MX
Intel Core i7-6700TE @ 2.40GHz,169.99,6734,,2012,,35.0,192.4,4,2016,LGA 1151,Desktop,1683.5,192.4,1.1951291951291951,Intel,Intel Core i7-6700TE
AMD Ryzen 3 PRO 2200G,169.99,6703,,2058,,65.0,103.13,4,2018,AM4,Desktop,1675.75,103.12307692307692,1.228106817842757,AMD,AMD Ryzen 3 PRO 2200G
Intel Core i5-7640X @ 4.00GHz,65.0,6675,102.69,2511,38.63,112.0,59.6,4,2017,FCLGA2066,Desktop,1668.75,59.598214285714285,1.5047191011235954,Intel,Intel Core i5-7640X
Intel Core i5-10310U @ 1.70GHz,297.0,6658,22.42,2281,7.68,15.0,443.89,4,2020,FCBGA1528,Laptop,1664.5,443.8666666666667,1.3703814959447282,Intel,Intel Core i5-10310U
AMD Opteron 6380,855.79,6645,7.76,1096,1.28,115.0,57.78,8,2015,G34,Server,830.625,57.78260869565217,1.3194883370955606,AMD,AMD Opteron 6380
AMD Ryzen Embedded R2314,169.99,6643,,1969,,65.0,,4,2022,unknown,Mobile/Embedded,1660.75,102.2,1.1856089116363089,AMD,AMD Ryzen Embedded R2314
Intel Core i3-9100 @ 3.60GHz,169.96,6625,38.98,2519,14.82,65.0,101.93,4,2019,FCLGA1151-2,Desktop,1656.25,101.92307692307692,1.5209056603773585,Intel,Intel Core i3-9100
Intel Xeon E3-1275 V2 @ 3.50GHz,384.24,6613,17.21,2151,5.6,77.0,85.89,4,2012,LGA1155,Server,1653.25,85.88311688311688,1.3010736428247391,Intel,Intel Xeon E3-1275 V2
Intel Xeon E5-2630L v2 @ 2.40GHz,88.65,6610,74.56,1388,15.66,60.0,110.17,6,2014,LGA 2011,Server,1101.6666666666667,110.16666666666667,1.2599092284417548,Intel,Intel Xeon E5-2630L v2
Intel Core i7-1180G7 @ 1.30GHz,426.0,6607,15.51,2323,5.45,15.0,440.45,4,2021,FCBGA1598,Laptop,1651.75,440.46666666666664,1.4063871651278947,Intel,Intel Core i7-1180G7
Intel Core i5-7600 @ 3.50GHz,169.99,6598,38.81,2476,14.57,65.0,101.5,4,2017,FCLGA1151,Desktop,1649.5,101.50769230769231,1.5010609275538043,Intel,Intel Core i5-7600
MT6891Z/CZA,395.0,6596,,1857,,95.0,,8,2021,unknown,Mobile/Embedded,824.5,69.43157894736842,2.252274105518496,Other,MT6891Z/CZA
Intel Xeon Platinum 8151 @ 3.40GHz,77.475,6591,,2393,,35.0,,2,2019,unknown,Server,3295.5,188.31428571428572,0.7261417083902291,Intel,Intel Xeon Platinum 8151
Intel Xeon E5-1428L v2 @ 2.20GHz,20.37,6566,322.34,1321,64.87,60.0,109.43,6,2019,FCLGA1356,Server,1094.3333333333333,109.43333333333334,1.2071276271702711,Intel,Intel Xeon E5-1428L v2
AMD Ryzen 5 2500U,169.99,6555,,1834,,15.0,436.97,4,2017,FP5,Laptop,1638.75,437.0,1.1191456903127384,AMD,AMD Ryzen 5 2500U
"Qualcomm Technologies, Inc SA8195P",395.0,6554,,1741,,95.0,,8,2021,unknown,Mobile/Embedded,819.25,68.98947368421052,2.1251144339334758,Other,"Qualcomm Technologies, Inc SA8195P"
Intel Core i7-6700HQ @ 2.60GHz,378.0,6544,17.31,1919,5.08,45.0,145.41,4,2015,FCBGA1440,Laptop,1636.0,145.42222222222222,1.1729828850855746,Intel,Intel Core i7-6700HQ
AMD Ryzen 3 2200GE,169.99,6537,,2049,,35.0,186.76,4,2018,AM4,Desktop,1634.25,186.77142857142857,1.2537861404313906,AMD,AMD Ryzen 3 2200GE
Intel Xeon E5-1620 v2 @ 3.70GHz,309.19,6535,21.14,2015,6.52,130.0,50.27,4,2013,FCLGA2011,Server,1633.75,50.26923076923077,1.2333588370313695,Intel,Intel Xeon E5-1620 v2
Intel Xeon W3670 @ 3.20GHz,295.19,6534,22.13,1501,5.09,130.0,50.26,6,2011,LGA1366,Server,1089.0,50.261538461538464,1.3783287419651056,Intel,Intel Xeon W3670
"Odin based on Qualcomm Technologies, Inc SM8350",395.0,6533,,1787,,95.0,,8,2021,unknown,Mobile/Embedded,816.625,68.76842105263158,2.1882749119853053,Other,"Odin based on Qualcomm Technologies, Inc SM8350"
Intel Xeon E3-1280 V2 @ 3.60GHz,388.19,6511,16.77,2174,5.6,69.0,94.36,4,2012,LGA1155,Server,1627.75,94.3623188405797,1.3355859315005376,Intel,Intel Xeon E3-1280 V2
Intel Core i7-4820K @ 3.70GHz,149.73,6501,43.42,1945,12.99,130.0,50.01,4,2013,FCLGA2011,Desktop,1625.25,50.00769230769231,1.1967389632364251,Intel,Intel Core i7-4820K
Intel Core i7-970 @ 3.20GHz,520.0,6499,12.5,1455,2.8,130.0,49.99,6,2010,LGA1366,Desktop,1083.1666666666667,49.99230769230769,1.3432835820895521,Intel,Intel Core i7-970
Intel Core i7-3770K @ 3.50GHz,136.48,6462,47.35,2082,15.25,77.0,83.93,4,2012,LGA1155,Desktop,1615.5,83.92207792207792,1.288765088207985,Intel,Intel Core i7-3770K
Intel Xeon E3-1290 V2 @ 3.70GHz,885.0,6461,7.3,2112,2.39,87.0,74.27,4,2012,LGA1155,Server,1615.25,74.26436781609195,1.3075375328896455,Intel,Intel Xeon E3-1290 V2
Intel Xeon E5-4610 @ 2.40GHz,215.19,6460,30.02,1401,6.51,95.0,68,6,2018,FCLGA2011,Server,1076.6666666666667,68.0,1.3012383900928792,Intel,Intel Xeon E5-4610
Intel Xeon E3-1286L v3 @ 3.20GHz,774.0,6450,8.33,2207,2.85,65.0,99.23,4,2018,LGA1150,Server,1612.5,99.23076923076923,1.3686821705426357,Intel,Intel Xeon E3-1286L v3
Intel Xeon E3-1270 V2 @ 3.50GHz,84.99,6431,75.66,2064,24.29,69.0,93.2,4,2012,LGA1155,Server,1607.75,93.20289855072464,1.2837816824755093,Intel,Intel Xeon E3-1270 V2
Intel Core i7-4770R @ 3.20GHz,169.99,6429,,2161,,65.0,98.91,4,2014,FCBGA1364,Desktop,1607.25,98.9076923076923,1.344532586716441,Intel,Intel Core i7-4770R
Intel Xeon Silver 4112 @ 2.60GHz,550.0,6420,11.67,1690,3.07,85.0,75.53,4,2018,FCLGA3647,Server,1605.0,75.52941176470588,1.0529595015576323,Intel,Intel Xeon Silver 4112
MT6893Z_C/CZA,395.0,6418,,1830,,95.0,,8,2021,unknown,Mobile/Embedded,802.25,67.5578947368421,2.281084449984419,Other,MT6893Z_C/CZA
Intel Xeon E5-2608L v3 @ 2.00GHz,441.0,6415,14.55,1210,2.74,52.0,123.37,6,2018,LGA2011-v3,Server,1069.1666666666667,123.36538461538461,1.1317225253312548,Intel,Intel Xeon E5-2608L v3
Intel Core i5-10210U @ 1.60GHz,702.62,6401,9.11,2233,3.18,15.0,426.76,4,2019,FCBGA1528,Laptop,1600.25,426.73333333333335,1.395406967661303,Intel,Intel Core i5-10210U
Intel Core i7-3770 @ 3.40GHz,139.98,6397,45.7,2076,14.83,77.0,83.08,4,2012,LGA1155,Desktop,1599.25,83.07792207792208,1.2981084883539158,Intel,Intel Core i7-3770
Intel Core i7-4870HQ @ 2.50GHz,169.99,6387,,2089,,47.0,135.89,4,2014,FCBGA1364,Laptop,1596.75,135.89361702127658,1.3082824487239706,Intel,Intel Core i7-4870HQ
AMD Opteron 6282 SE,223.39,6385,28.58,953,4.27,140.0,45.61,16,2013,unknown,Server,399.0625,45.607142857142854,2.3880971025841817,AMD,AMD Opteron 6282 SE
"Qualcomm Technologies, Inc SM8350AC",395.0,6385,,2732,,95.0,,8,2021,unknown,Mobile/Embedded,798.125,67.21052631578948,3.4230227094753327,Other,"Qualcomm Technologies, Inc SM8350AC"
Intel Core i7-8665U @ 1.90GHz,704.49,6383,9.06,2236,3.17,15.0,425.51,4,2019,FCBGA1528,Laptop,1595.75,425.53333333333336,1.4012219959266803,Intel,Intel Core i7-8665U
Intel Xeon X5675 @ 3.07GHz,30.98,6378,205.88,1473,47.55,95.0,67.14,6,2011,LGA1366,Server,1063.0,67.13684210526316,1.385700846660395,Intel,Intel Xeon X5675
Intel Xeon E5-2420 v2 @ 2.20GHz,85.19,6362,74.68,1382,16.22,80.0,79.52,6,2014,FCLGA1356,Server,1060.3333333333333,79.525,1.3033637220999688,Intel,Intel Xeon E5-2420 v2
Intel Core i7-8565U @ 1.80GHz,615.0,6358,10.34,2246,3.65,15.0,423.86,4,2018,FCBGA1356,Laptop,1589.5,423.8666666666667,1.4130229631959736,Intel,Intel Core i7-8565U
Intel Core i7-8650U @ 1.90GHz,1049.0,6358,6.06,2154,2.05,15.0,423.89,4,2017,FC-BGA1356,Laptop,1589.5,423.8666666666667,1.3551431267694243,Intel,Intel Core i7-8650U
AMD Ryzen 3 PRO 1200,169.99,6347,,1936,,65.0,97.65,4,2017,AM4,Desktop,1586.75,97.64615384615385,1.220103986135182,AMD,AMD Ryzen 3 PRO 1200
Intel Xeon E-2254ML @ 1.70GHz,169.99,6333,,2029,,25.0,253.31,4,2019,FCBGA1440,Server,1583.25,253.32,1.2815411337438813,Intel,Intel Xeon E-2254ML
Intel Xeon E5-2640 @ 2.50GHz,75.0,6321,84.28,1348,17.98,95.0,66.54,6,2012,LGA2011,Server,1053.5,66.53684210526316,1.2795443758898908,Intel,Intel Xeon E5-2640
Intel Xeon E3-1245 V2 @ 3.40GHz,367.5,6316,17.19,2042,5.56,77.0,82.02,4,2012,LGA1155,Server,1579.0,82.02597402597402,1.2932235592146928,Intel,Intel Xeon E3-1245 V2
Intel Xeon E3-1225 v6 @ 3.30GHz,208.13,6312,30.33,2303,11.06,73.0,86.47,4,2017,FCLGA1151,Server,1578.0,86.46575342465754,1.4594423320659062,Intel,Intel Xeon E3-1225 v6
Intel Core i5-6600K @ 3.50GHz,135.0,6307,46.72,2332,17.27,91.0,69.31,4,2015,FCLGA1151,Desktop,1576.75,69.3076923076923,1.4789915966386555,Intel,Intel Core i5-6600K
AMD Ryzen 3 1200,103.55,6304,60.88,1927,18.61,65.0,96.98,4,2017,AM4,Desktop,1576.0,96.98461538461538,1.2227157360406091,AMD,AMD Ryzen 3 1200
Intel Xeon E3-1240 V2 @ 3.40GHz,99.99,6301,63.02,2044,20.44,69.0,91.32,4,2012,LGA1155,Server,1575.25,91.31884057971014,1.297571813997778,Intel,Intel Xeon E3-1240 V2
Intel Core i7-4760HQ @ 2.10GHz,169.99,6300,,1944,,47.0,134.05,4,2014,FCBGA1364,Laptop,1575.0,134.04255319148936,1.2342857142857142,Intel,Intel Core i7-4760HQ
Intel Core i7-4850HQ @ 2.30GHz,434.0,6299,14.51,1972,4.54,47.0,134.03,4,2013,FCBGA1364,Laptop,1574.75,134.0212765957447,1.252262263851405,Intel,Intel Core i7-4850HQ
Intel Xeon E5-4617 @ 2.90GHz,35.88,6298,175.52,1552,43.25,130.0,48.44,6,2014,LGA 2011,Server,1049.6666666666667,48.44615384615385,1.4785646236900603,Intel,Intel Xeon E5-4617
Intel Core i7-4790T @ 2.70GHz,893.0,6291,7.05,2100,2.35,45.0,139.81,4,2014,LGA1150,Desktop,1572.75,139.8,1.335240820219361,Intel,Intel Core i7-4790T
Intel Core i5-8350U @ 1.70GHz,297.0,6284,21.16,2031,6.84,15.0,418.94,4,2017,FC-BGA1356,Laptop,1571.0,418.93333333333334,1.292807129217059,Intel,Intel Core i5-8350U
Intel Core i3-1115G4 @ 3.00GHz,281.0,6273,22.33,2695,9.59,35.0,,2,2020,FCBGA1449,Laptop,3136.5,179.22857142857143,0.8592380041447474,Intel,Intel Core i3-1115G4
Intel Core i7-4910MQ @ 2.90GHz,459.95,6265,13.62,2019,4.39,47.0,133.3,4,2014,FCPGA946,Laptop,1566.25,133.29787234042553,1.2890662410215483,Intel,Intel Core i7-4910MQ
Intel Xeon E5-2620 v2 @ 2.10GHz,49.0,6246,127.47,1303,26.59,80.0,78.08,6,2013,FCLGA2011,Server,1041.0,78.075,1.2516810758885686,Intel,Intel Xeon E5-2620 v2
AMD Opteron 6276,968.46,6245,6.45,1005,1.04,115.0,54.3,8,2013,Socket G34,Server,780.625,54.30434782608695,1.2874299439551642,AMD,AMD Opteron 6276
Intel Xeon E5-2637 v2 @ 3.50GHz,127.52,6244,48.96,1849,14.5,130.0,48.03,4,2014,LGA 2011,Server,1561.0,48.03076923076923,1.1844971172325431,Intel,Intel Xeon E5-2637 v2
Intel Core i5-8365U @ 1.60GHz,539.07,6239,11.57,2166,4.02,15.0,415.95,4,2019,FCBGA1528,Laptop,1559.75,415.93333333333334,1.3886840839878185,Intel,Intel Core i5-8365U
Intel Xeon D-1622 @ 2.60GHz,170.0,6205,36.5,1875,11.03,40.0,155.12,4,2021,FCBGA1667,Server,1551.25,155.125,1.20870265914585,Intel,Intel Xeon D-1622
Intel Xeon W-2104 @ 3.20GHz,255.0,6202,24.32,1836,7.2,120.0,51.69,4,2018,FCLGA2066,Server,1550.5,51.68333333333333,1.1841341502741052,Intel,Intel Xeon W-2104
Intel Xeon E3-1230 V2 @ 3.30GHz,61.97,6192,99.93,1994,32.18,69.0,89.75,4,2012,LGA1155,Server,1548.0,89.73913043478261,1.2881136950904393,Intel,Intel Xeon E3-1230 V2
Intel Core i7-8565UC @ 1.80GHz,169.99,6187,,2527,,15.0,412.45,4,2020,FCBGA1528,Laptop,1546.75,412.46666666666664,1.6337481816712462,Intel,Intel Core i7-8565UC
Intel Core i5-1030NG7 @ 1.10GHz,169.99,6180,,1832,,10.0,617.95,4,2020,BGA1526,Laptop,1545.0,618.0,1.1857605177993527,Intel,Intel Core i5-1030NG7
Intel Core i7-3770S @ 3.10GHz,114.0,6178,54.2,2034,17.84,65.0,95.05,4,2012,LGA1155,Desktop,1544.5,95.04615384615384,1.31693104564584,Intel,Intel Core i7-3770S
Intel Xeon E3-1240L v5 @ 2.10GHz,278.0,6173,22.21,1906,6.86,25.0,246.93,4,2017,FCLGA1151,Server,1543.25,246.92,1.2350558885468979,Intel,Intel Xeon E3-1240L v5
Intel Core i3-8100 @ 3.60GHz,169.99,6163,36.26,2240,13.18,65.0,94.82,4,2017,FCLGA1151-2,Desktop,1540.75,94.81538461538462,1.4538374168424468,Intel,Intel Core i3-8100
Intel Core i3-9300T @ 3.20GHz,143.0,6162,43.09,2318,16.21,35.0,176.07,4,2019,FCLGA1151-2,Desktop,1540.5,176.05714285714285,1.5047062641999351,Intel,Intel Core i3-9300T
SM7325,395.0,6145,,2147,,95.0,,8,2021,unknown,Mobile/Embedded,768.125,64.6842105263158,2.7951179820992675,Other,SM7325
AMD Ryzen 3 PRO 3300U,169.99,6144,,2060,,15.0,409.61,4,2019,FP5,Laptop,1536.0,409.6,1.3411458333333333,AMD,AMD Ryzen 3 PRO 3300U
Intel Core i7-4860HQ @ 2.40GHz,169.99,6138,,1901,,47.0,130.6,4,2014,FCBGA1364,Laptop,1534.5,130.59574468085106,1.2388400130335615,Intel,Intel Core i7-4860HQ
Intel Core i3-8300 @ 3.70GHz,265.7,6136,23.1,2262,8.51,62.0,98.97,4,2018,FCLGA1151-2,Desktop,1534.0,98.96774193548387,1.4745762711864407,Intel,Intel Core i3-8300
Intel Xeon E5-2630 @ 2.30GHz,49.0,6131,125.12,1270,25.92,95.0,64.54,6,2012,LGA2011,Server,1021.8333333333334,64.53684210526316,1.242864133094112,Intel,Intel Xeon E5-2630
AMD FX-8370 Eight-Core,218.99,6128,27.98,1626,7.43,125.0,49.02,4,2014,AM3+,Desktop,1532.0,49.024,1.0613577023498695,AMD,AMD FX-8370 Eight-Core
Intel Core i7-4770HQ @ 2.20GHz,169.99,6125,,1934,,47.0,130.31,4,2014,FCBGA1364,Laptop,1531.25,130.31914893617022,1.2630204081632652,Intel,Intel Core i7-4770HQ
Intel Core i5-6600 @ 3.30GHz,119.0,6107,51.32,2284,19.2,65.0,93.96,4,2015,LGA 1151,Desktop,1526.75,93.95384615384616,1.4959882102505322,Intel,Intel Core i5-6600
Intel Xeon X5660 @ 2.80GHz,72.33,6107,84.43,1387,19.17,95.0,64.28,6,2010,LGA1366,Server,1017.8333333333334,64.28421052631579,1.3626985426559686,Intel,Intel Xeon X5660
Intel Core i5-8265U @ 1.60GHz,499.88,6103,12.21,2122,4.25,15.0,406.87,4,2018,FCBGA1528,Laptop,1525.75,406.8666666666667,1.3907914140586597,Intel,Intel Core i5-8265U
Intel Xeon X5670 @ 2.93GHz,63.94,6090,95.25,1392,21.77,95.0,64.11,6,2010,LGA1366,Server,1015.0,64.10526315789474,1.3714285714285714,Intel,Intel Xeon X5670
Intel Core i7-5675C @ 3.10GHz,169.99,6089,,2249,,65.0,93.67,4,2015,LGA1150,Desktop,1522.25,93.67692307692307,1.4774182952865824,Intel,Intel Core i7-5675C
Intel Xeon E3-1505L v6 @ 2.20GHz,169.99,6088,,1848,,25.0,243.52,4,2017,FCBGA1440,"Laptop, Server",1522.0,243.52,1.21419185282523,Intel,Intel Xeon E3-1505L v6
Intel Core i3-8100B @ 3.60GHz,133.0,6081,45.72,2363,17.77,65.0,93.55,4,2019,FCBGA1440,Laptop,1520.25,93.55384615384615,1.554349613550403,Intel,Intel Core i3-8100B
Intel Xeon E3-1268L v5 @ 2.40GHz,456.54,6079,13.32,1654,3.62,35.0,173.69,4,2018,FCLGA1151,"Laptop, Server",1519.75,173.68571428571428,1.0883368975160388,Intel,Intel Xeon E3-1268L v5
Intel Core i5-7600T @ 2.80GHz,298.0,6073,20.38,2231,7.49,35.0,173.5,4,2017,FCLGA1151,Desktop,1518.25,173.5142857142857,1.4694549645973982,Intel,Intel Core i5-7600T
Intel Xeon E5-2658 @ 2.10GHz,1350.7,6073,4.5,1156,0.86,95.0,63.92,8,2012,LGA2011,Server,759.125,63.92631578947368,1.5228058620121852,Intel,Intel Xeon E5-2658
AMD Opteron 6344,379.0,6069,16.01,1231,3.25,115.0,52.77,6,2013,unknown,Server,1011.5,52.77391304347826,1.217004448838359,AMD,AMD Opteron 6344
Intel Core i5-7500 @ 3.40GHz,165.99,6064,36.53,2284,13.76,65.0,93.3,4,2016,LGA1151,Desktop,1516.0,93.29230769230769,1.5065963060686016,Intel,Intel Core i5-7500
Intel Xeon E-2104G @ 3.20GHz,510.0,6057,11.88,1963,3.85,65.0,93.19,4,2018,FCLGA1151-2,Server,1514.25,93.18461538461538,1.2963513290407793,Intel,Intel Xeon E-2104G
Intel Core i7-4900MQ @ 2.80GHz,556.0,6051,10.88,1951,3.51,47.0,128.75,4,2013,FCPGA946,Laptop,1512.75,128.74468085106383,1.2897041811270864,Intel,Intel Core i7-4900MQ
AMD EPYC 3101 4-Core,169.99,6050,,1787,,65.0,,4,2021,unknown,Unknown,1512.5,93.07692307692308,1.181487603305785,AMD,AMD EPYC 3101 4-Core
Intel Xeon E3-1275L v3 @ 2.70GHz,169.99,6035,,2106,,45.0,134.1,4,2015,LGA1150,Server,1508.75,134.11111111111111,1.395857497928749,Intel,Intel Xeon E3-1275L v3
Intel Core i7-4810MQ @ 2.80GHz,179.95,6034,33.53,2004,11.14,47.0,128.37,4,2014,FCPGA946,Laptop,1508.5,128.38297872340425,1.3284719920450778,Intel,Intel Core i7-4810MQ
Intel Core i7-5700HQ @ 2.70GHz,169.99,6023,,2025,,47.0,128.15,4,2015,FCBGA1364,Laptop,1505.75,128.14893617021278,1.344844761746638,Intel,Intel Core i7-5700HQ
vendor Kirin990,395.0,5998,,2015,,95.0,,8,2021,unknown,Mobile/Embedded,749.75,63.136842105263156,2.68756252084028,Other,vendor Kirin990
Intel Core i5-8265UC @ 1.60GHz,169.99,5988,,2200,,65.0,,4,2019,FCBGA1528,Laptop,1497.0,92.12307692307692,1.4696058784235138,Intel,Intel Core i5-8265UC
Intel Xeon E3-1265L v3 @ 2.50GHz,699.95,5987,8.55,2104,3.01,45.0,133.05,4,2012,FCLGA1150,Server,1496.75,133.04444444444445,1.4057123768164357,Intel,Intel Xeon E3-1265L v3
AMD FX-9370 Eight-Core,253.0,5985,23.66,1671,6.61,220.0,27.21,4,2013,AM3+,Desktop,1496.25,27.204545454545453,1.1167919799498747,AMD,AMD FX-9370 Eight-Core
AMD Ryzen 3 PRO 2300U,169.99,5982,,1853,,15.0,398.8,4,2018,FP5,Laptop,1495.5,398.8,1.2390504847876964,AMD,AMD Ryzen 3 PRO 2300U
AMD FX-8350 Eight-Core,122.99,5969,48.53,1576,12.81,125.0,47.75,4,2012,AM3+,Desktop,1492.25,47.752,1.0561233037359692,AMD,AMD FX-8350 Eight-Core
Intel Core i7-3840QM @ 2.80GHz,548.87,5966,10.87,1954,3.56,45.0,132.57,4,2012,rPGA988B,Laptop,1491.5,132.57777777777778,1.31009051290647,Intel,Intel Core i7-3840QM
Intel Core i7-8550U @ 1.80GHz,169.99,5964,,2076,,15.0,397.63,4,2017,FC-BGA1356,Laptop,1491.0,397.6,1.392354124748491,Intel,Intel Core i7-8550U
Intel Xeon E3-1225 v5 @ 3.30GHz,399.0,5961,14.94,2064,5.17,80.0,74.51,4,2016,FCLGA1151,Server,1490.25,74.5125,1.385002516356316,Intel,Intel Xeon E3-1225 v5
Intel Core i5-8250U @ 1.60GHz,169.99,5941,,1932,,15.0,396.03,4,2017,FC-BGA1356,Laptop,1485.25,396.06666666666666,1.300791112607305,Intel,Intel Core i5-8250U
Intel Xeon E5-2650L @ 1.80GHz,49.0,5929,120.99,1091,22.26,70.0,84.69,8,2012,LGA 2011,Server,741.125,84.7,1.4720863552032384,Intel,Intel Xeon E5-2650L
AMD Ryzen Embedded V1404I,169.99,5917,,1938,,15.0,394.44,4,2020,unknown,"Desktop, Mobile/Embedded",1479.25,394.46666666666664,1.31012337333108,AMD,AMD Ryzen Embedded V1404I
Intel Xeon D-1528 @ 1.90GHz,215.8,5910,,1281,,35.0,168.85,6,2016,FCBGA1667,"Laptop, Server",985.0,168.85714285714286,1.300507614213198,Intel,Intel Xeon D-1528
MT6893Z/CZA,395.0,5908,,2065,,95.0,,8,2021,unknown,Mobile/Embedded,738.5,62.189473684210526,2.796208530805687,Other,MT6893Z/CZA
Intel Core i7-5700EQ @ 2.60GHz,169.99,5905,,2124,,47.0,125.64,4,2015,FCBGA1364,Laptop,1476.25,125.63829787234043,1.4387806943268417,Intel,Intel Core i7-5700EQ
AMD Ryzen 3 3350U,169.99,5904,,1976,,15.0,393.57,4,2021,unknown,Laptop,1476.0,393.6,1.3387533875338753,AMD,AMD Ryzen 3 3350U
Intel Xeon E5-2430L v2 @ 2.40GHz,215.8,5903,,1211,,60.0,98.39,6,2015,LGA 1356,Server,983.8333333333334,98.38333333333334,1.2308995426054548,Intel,Intel Xeon E5-2430L v2
Intel Xeon E5-2440 @ 2.40GHz,170.0,5900,34.71,1282,7.54,95.0,62.11,6,2014,LGA 1356,Server,983.3333333333334,62.10526315789474,1.303728813559322,Intel,Intel Xeon E5-2440
AMD Ryzen 3 PRO 2200GE,169.99,5897,,2000,,35.0,168.47,4,2018,AM4,Desktop,1474.25,168.4857142857143,1.3566220111921317,AMD,AMD Ryzen 3 PRO 2200GE
AMD Opteron 6378,1709.92,5889,3.44,1127,0.66,115.0,51.21,8,2015,G34,Server,736.125,51.208695652173915,1.5309899813211072,AMD,AMD Opteron 6378
Intel Xeon D-1521 @ 2.40GHz,169.99,5876,,1724,,45.0,130.58,4,2016,FCBGA1667,Server,1469.0,130.57777777777778,1.1735874744724302,Intel,Intel Xeon D-1521
Intel Xeon E5-1620 @ 3.60GHz,179.91,5871,32.64,1774,9.86,130.0,45.16,4,2012,LGA2011,Server,1467.75,45.16153846153846,1.2086526997104412,Intel,Intel Xeon E5-1620
Intel Xeon E5-2430 @ 2.20GHz,69.0,5863,84.97,1190,17.25,95.0,61.72,6,2012,LGA 1356,Server,977.1666666666666,61.71578947368421,1.2178065836602423,Intel,Intel Xeon E5-2430
Intel Xeon E5-1410 v2 @ 2.80GHz,19.2,5842,304.26,1689,87.97,80.0,73.02,4,2015,LGA 1356,Server,1460.5,73.025,1.156453269428278,Intel,Intel Xeon E5-1410 v2
vendor Kirin985,395.0,5834,,1894,,95.0,,8,2022,unknown,Mobile/Embedded,729.25,61.410526315789475,2.5971888926979774,Other,vendor Kirin985
Intel Core i7-4800MQ @ 2.70GHz,239.99,5829,24.29,1944,8.1,47.0,124.02,4,2013,rPGA946B,Laptop,1457.25,124.02127659574468,1.3340195573854863,Intel,Intel Core i7-4800MQ
Intel Core i3-8300T @ 3.20GHz,158.95,5827,36.66,2005,12.62,25.0,233.07,4,2018,FCLGA1151-2,Desktop,1456.75,233.08,1.3763514673073622,Intel,Intel Core i3-8300T
AMD Ryzen 3 3300U,169.99,5803,,1899,,15.0,386.88,4,2019,FP5,Laptop,1450.75,386.8666666666667,1.3089781147682233,AMD,AMD Ryzen 3 3300U
Intel Core i7-4710MQ @ 2.50GHz,271.57,5800,21.36,1895,6.98,47.0,123.4,4,2014,FCPGA946,Laptop,1450.0,123.40425531914893,1.306896551724138,Intel,Intel Core i7-4710MQ
Intel Core i3-1115G4E @ 3.00GHz,285.0,5776,20.27,2552,8.95,15.0,385.06,2,2022,BGA 1449,Mobile/Embedded,2888.0,385.06666666666666,0.8836565096952909,Intel,Intel Core i3-1115G4E
AMD Opteron 4274 HE,76.99,5776,75.02,1060,13.77,65.0,88.86,4,2012,C32,Server,1444.0,88.86153846153846,0.7340720221606648,AMD,AMD Opteron 4274 HE
Intel Xeon E5-2450L @ 1.80GHz,65.0,5769,88.76,1013,15.58,70.0,82.42,8,2015,LGA 1356,Server,721.125,82.41428571428571,1.404749523314266,Intel,Intel Xeon E5-2450L
Intel Core i7-4720HQ @ 2.60GHz,169.99,5762,,1870,,47.0,122.59,4,2014,BGA1364,Laptop,1440.5,122.59574468085107,1.2981603609857688,Intel,Intel Core i7-4720HQ
Intel Xeon X5650 @ 2.67GHz,58.0,5761,99.32,1302,22.45,95.0,60.64,6,2010,LGA1366,Server,960.1666666666666,60.642105263157895,1.3560145808019441,Intel,Intel Xeon X5650
SM8350,395.0,5761,,2452,,95.0,,8,2021,unknown,Mobile/Embedded,720.125,60.642105263157895,3.404964415900017,Other,SM8350
